mart_name,category_ko,category_es,product_name_display,brand_or_style,price_eur,price_type,price_note,listing_type,source_label,source_url,stock_confidence
El Corte Inglés Serrano,하몽,jamon,Jamón de bellota 100% ibérico,Club del Gourmet premium ham,18.9,estimated_inferred,100g 안팎 추정가,store_profile_curated,Cadena SER Club del Gourmet at El Corte Inglés,https://cadenaser.com/galicia/2025/12/12/el-corte-ingles-de-vigo-inaugura-un-nuevo-club-del-gourmet-radio-vigo/,medium
El Corte Inglés Serrano,하몽,jamon,Jamón ibérico loncheado selección gourmet,Charcutería gourmet,11.9,estimated_inferred,팩 기준 추정가,store_profile_curated,Cadena SER Club del Gourmet at El Corte Inglés,https://cadenaser.com/galicia/2025/12/12/el-corte-ingles-de-vigo-inaugura-un-nuevo-club-del-gourmet-radio-vigo/,medium
El Corte Inglés Serrano,하몽,jamon,Paleta ibérica selección gourmet,Charcutería gourmet,9.9,estimated_inferred,팩 기준 추정가,store_profile_curated,Cadena SER Club del Gourmet at El Corte Inglés,https://cadenaser.com/galicia/2025/12/12/el-corte-ingles-de-vigo-inaugura-un-nuevo-club-del-gourmet-radio-vigo/,medium
El Corte Inglés Serrano,치즈,queso,Queso manchego curado DOP,Spanish cheese cave selection,8.9,estimated_inferred,조각 기준 추정가,store_profile_curated,Cadena SER Club del Gourmet at El Corte Inglés,https://cadenaser.com/galicia/2025/12/12/el-corte-ingles-de-vigo-inaugura-un-nuevo-club-del-gourmet-radio-vigo/,medium
El Corte Inglés Serrano,치즈,queso,Queso Idiazábal ahumado,Spanish artisan cheese,9.5,estimated_inferred,조각 기준 추정가,store_profile_curated,Cadena SER Club del Gourmet at El Corte Inglés,https://cadenaser.com/galicia/2025/12/12/el-corte-ingles-de-vigo-inaugura-un-nuevo-club-del-gourmet-radio-vigo/,medium
El Corte Inglés Serrano,치즈,queso,Queso Comté afinado,International cheese cave selection,10.9,estimated_inferred,조각 기준 추정가,store_profile_curated,Cadena SER Club del Gourmet at El Corte Inglés,https://cadenaser.com/galicia/2025/12/12/el-corte-ingles-de-vigo-inaugura-un-nuevo-club-del-gourmet-radio-vigo/,medium
El Corte Inglés Serrano,올리브오일,aceite_de_oliva,Carbonell aceite de oliva virgen extra 1L,Mainstream branded AOVE,12.99,article_mentioned,1L 기준 기사 언급가,article_mentioned,HuffPost on El Corte Inglés olive oil promotions,https://www.huffingtonpost.es/politica/el-corte-ingles-mueve-ficha-pugna-precios-aceite-oliva-mega-descuentos-regalo-virgen-extra.html,medium
El Corte Inglés Serrano,올리브오일,aceite_de_oliva,Coosur aceite de oliva virgen extra 1L,Mainstream branded AOVE,10.9,estimated_inferred,1L 기준 추정가,article_mentioned,HuffPost on El Corte Inglés olive oil promotions,https://www.huffingtonpost.es/politica/el-corte-ingles-mueve-ficha-pugna-precios-aceite-oliva-mega-descuentos-regalo-virgen-extra.html,medium
El Corte Inglés Serrano,올리브오일,aceite_de_oliva,Maestros de Hojiblanca aceite de oliva virgen extra 5L,Value size AOVE,24.95,article_mentioned,5L 기준 기사 언급가,article_mentioned,HuffPost on El Corte Inglés olive oil promotions,https://www.huffingtonpost.es/politica/el-corte-ingles-mueve-ficha-pugna-precios-aceite-oliva-mega-descuentos-regalo-virgen-extra.html,medium
Mercado de la Paz,하몽,jamon,Jamón ibérico de bellota,Álvarez Selección charcutería,16.9,estimated_inferred,100g 안팎 추정가,market_stall_curated,José Álvarez Charcutería at Mercado de la Paz,https://www.mercadodelapaz.com/portfolio/39-jose-alvarez-charcuteria/,medium
