mart_name,category,availability_score,price_score,quality_score,variety_score,recommendation_score,price_band,stock_confidence,gift_suitability,daily_use_suitability,cooking_suitability,ready_to_eat_suitability,premium_feel,local_experience,tourist_accessibility,bulk_buy_suitability,delivery_friendliness,time_efficiency,tourist_fit,resident_fit,recommended_for,avoid_if,summary_copy,notes
El Corte Inglés Serrano,하몽,4,3,4,4,4,보통,항상 있음,5,2,4,2,4,2,5,3,4,4,5,2,"관광객, 선물용, 스페인 대표 식재료",최저가 생활 장보기가 우선일 때,관광객이 하몽을 실패 없이 고르기 쉬운 백화점형 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,올리브오일,4,3,4,4,4,보통,항상 있음,5,3,4,2,4,2,5,3,4,4,5,3,"관광객, 집밥용, 선물용",브랜드 탐색보다 무조건 최저가가 중요할 때,관광객이 올리브오일을 실패 없이 고르기 쉬운 백화점형 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,치즈,4,3,4,4,4,보통,항상 있음,5,2,4,2,4,2,5,3,4,4,5,3,"관광객, 미식 탐방, 와인 안주",생활형 대량 구매가 우선일 때,관광객이 치즈를 실패 없이 고르기 쉬운 백화점형 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,초리소,4,3,3,3,4,보통,보통,4,2,3,2,4,2,5,3,4,4,5,3,"델리 식품 탐색, 집밥 보조 재료",강한 현지 체험이나 강한 가성비만 기대할 때,백화점형 프리미엄 장보기 거점에서 초리소를 보충할 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,토마토,4,3,4,3,4,보통,보통,2,4,3,2,5,2,5,3,4,4,5,3,"직접 요리, 신선 채소 보충",냉동·즉석식 중심 쇼핑일 때,백화점형 프리미엄 장보기 거점에서 토마토 같은 기본 채소를 살 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,납작복숭아,3,3,3,3,3,보통,시즌성,3,3,3,2,5,2,5,3,3,3,5,3,"제철 과일 체험, 관광객",항상 같은 재고 안정성을 기대할 때,백화점형 프리미엄 장보기 거점에서 납작복숭아 같은 제철 과일을 찾을 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,오렌지,4,3,3,3,4,보통,항상 있음,3,4,3,2,4,2,5,3,4,4,5,3,"아침용 과일, 생활형 과일 보충",프리미엄 과일 체험이 목적일 때,백화점형 프리미엄 장보기 거점에서 오렌지를 살 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,포도,3,3,3,3,3,보통,시즌성,3,3,3,2,4,2,5,3,3,3,5,3,"과일 보충, 간단한 안주 재료",과일 전문 마켓 경험을 기대할 때,백화점형 프리미엄 장보기 거점에서 포도 같은 보조 과일을 고를 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,빠에야 재료,4,3,4,4,4,보통,보통,2,4,2,2,5,2,5,3,4,4,5,3,"직접 요리, 친구 모임, 관광객 체험",바로 먹는 음식이 급할 때,백화점형 프리미엄 장보기 거점에서 빠에야 재료를 한 번에 모을 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,가스파초 재료,4,3,4,3,4,보통,보통,2,4,2,2,5,2,5,3,4,4,5,3,"여름 요리, 신선 채소 장보기",생활용품 중심 쇼핑일 때,백화점형 프리미엄 장보기 거점에서 가스파초 재료를 모을 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,토르티야 재료,4,3,3,3,4,보통,항상 있음,3,4,3,2,4,2,5,3,4,4,5,3,"집밥, 유학생, 기본 식재료 장보기",프리미엄 식재료 경험이 더 중요할 때,백화점형 프리미엄 장보기 거점에서 토르티야 재료를 살 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,해산물,3,3,4,3,4,높은 편,보통,2,2,2,2,5,2,5,3,4,3,5,3,"빠에야, 해산물 요리, 미식 탐방",저렴한 냉동 해산물 중심 장보기,백화점형 프리미엄 장보기 거점에서 해산물 요리를 준비할 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,쌀,5,4,3,3,4,저렴한 편,항상 있음,2,4,3,2,4,2,5,3,4,5,5,4,"생활형 요리, 기본 재료 보충",전문 쌀 카테고리 다양성을 기대할 때,백화점형 프리미엄 장보기 거점에서 쌀을 고를 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,냉동식품,5,4,3,4,4,저렴한 편,항상 있음,1,2,5,2,4,2,4,4,4,5,5,4,"유학생, 혼밥, 바쁜 일정",신선식품 중심 장보기가 목적일 때,백화점형 프리미엄 장보기 거점에서 냉동식품 위주로 장볼 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,즉석식품,4,4,3,4,4,저렴한 편,보통,1,2,5,2,4,2,3,4,4,5,5,3,"바로 먹는 식사, 늦은 저녁, 혼밥",정통 식재료 탐색이 목적일 때,백화점형 프리미엄 장보기 거점에서 바로 먹을 음식을 찾을 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,생활 용품,5,4,3,4,4,저렴한 편,항상 있음,1,2,1,2,4,2,3,4,4,5,4,4,"장기 체류자, 유학생, 보충형 장보기",기념품형 쇼핑이 목적일 때,백화점형 프리미엄 장보기 거점에서 생활용품을 보충할 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
El Corte Inglés Serrano,청소용품,5,4,3,4,4,저렴한 편,보통,1,2,1,2,4,2,3,4,4,5,4,4,"자취, 생활비 절약형 장보기",식재료 중심 장보기가 목적일 때,백화점형 프리미엄 장보기 거점에서 청소용품을 살 때 무난하게 연결되는 선택지,"선물용과 관광객 친화성이 강하고, 생각보다 일식 재료가 잘 보이는 편이었다. 가격이 아주 압도적으로 비싸다기보다 정돈된 선택지가 많았고, 밀키트류 존재감은 약했다."
